epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
124,312669,1.33317,0.68152,0.78618,0.85445,0.81699,0.87004,0.54046,1.15059,0.5763,0.77349,0.0117345,0.0039115,0.0117345,0.0039115,0.0117345,0.0039115,0.0117345,0.0039115
125,315051,1.33119,0.679,0.78557,0.85541,0.81644,0.87041,0.54079,1.14987,0.57574,0.77347,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862
126,317396,1.33467,0.67909,0.78567,0.8555,0.81682,0.87059,0.54097,1.14958,0.57559,0.7734,0.0114375,0.0038125,0.0114375,0.0038125,0.0114375,0.0038125,0.0114375,0.0038125
127,319855,1.33375,0.67931,0.78492,0.85525,0.81755,0.87069,0.54117,1.14905,0.57516,0.77336,0.011289,0.003763,0.011289,0.003763,0.011289,0.003763,0.011289,0.003763
128,322348,1.33123,0.6783,0.78549,0.855,0.81792,0.87099,0.54132,1.14866,0.57471,0.77331,0.0111405,0.0037135,0.0111405,0.0037135,0.0111405,0.0037135,0.0111405,0.0037135
129,324805,1.33127,0.67825,0.78583,0.85488,0.81805,0.87107,0.54164,1.14843,0.57461,0.77328,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664
130,327117,1.32605,0.67591,0.78535,0.85474,0.81861,0.87144,0.54192,1.14803,0.57444,0.77325,0.0108435,0.0036145,0.0108435,0.0036145,0.0108435,0.0036145,0.0108435,0.0036145
131,329544,1.33127,0.67731,0.78529,0.85421,0.81919,0.87168,0.54221,1.14808,0.57507,0.77324,0.010695,0.003565,0.010695,0.003565,0.010695,0.003565,0.010695,0.003565
132,331962,1.33121,0.67721,0.78513,0.8559,0.81798,0.8718,0.54264,1.14766,0.57398,0.77322,0.0105465,0.0035155,0.0105465,0.0035155,0.0105465,0.0035155,0.0105465,0.0035155
133,334418,1.32652,0.67483,0.78479,0.85526,0.81881,0.87207,0.54286,1.14694,0.57286,0.77316,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466
